,treatment,work_interfere,benefits,care_options,wellness_program,seek_help,condition,resources,knowledge
348,No,Never,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
349,No,Rarely,Yes,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
350,Yes,Sometimes,Yes,Don't know,No,No,Yes,Poor,Knowledgeable
351,Yes,Rarely,No,No,No,Don't know,Yes,Poor,Knowledgeable
352,No,Often,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
353,No,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
354,No,Sometimes,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
355,No,Never,No,No,No,No,Yes,Poor,Knowledgeable
356,Yes,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
357,No,Sometimes,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
358,No,Rarely,Yes,No,No,No,Yes,Poor,Knowledgeable
359,No,Never,Yes,No,Yes,Don't know,Yes,Good,Knowledgeable
360,No,Often,No,Don't know,No,Don't know,Yes,Poor,Somewhat knowledgeable
361,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
362,No,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
363,Yes,Often,Yes,Yes,No,No,Yes,Poor,Knowledgeable
364,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
365,Yes,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
366,Yes,Rarely,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
367,No,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
368,Yes,Sometimes,Yes,Don't know,No,Don't know,Yes,Poor,Somewhat knowledgeable
369,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
370,Yes,Rarely,Yes,Yes,No,No,Yes,Poor,Knowledgeable
371,No,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
372,Yes,Sometimes,Yes,Yes,No,Don't know,Yes,Poor,Knowledgeable
373,No,Never,No,No,No,No,Yes,Poor,Knowledgeable
374,Yes,Often,No,No,No,No,Yes,Poor,Knowledgeable
375,No,Never,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
376,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
377,No,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
378,No,Often,No,No,No,No,Yes,Poor,Knowledgeable
379,Yes,Never,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
380,No,Rarely,No,No,No,No,Yes,Poor,Knowledgeable
381,Yes,Sometimes,Yes,Yes,No,Don't know,Yes,Poor,Knowledgeable
382,No,Rarely,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
383,No,Never,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
384,No,Never,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
385,Yes,Sometimes,No,No,Don't know,No,Yes,Poor,Knowledgeable
386,No,Never,No,No,No,No,Yes,Poor,Knowledgeable
387,No,Never,No,Don't know,No,Don't know,Yes,Poor,Somewhat knowledgeable
388,No,Sometimes,Don't know,Don't know,No,Don't know,Yes,Poor,Not knowledgeable
389,No,Never,Don't know,No,Don't know,Don't know,Yes,Poor,Not knowledgeable
390,No,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
391,Yes,Rarely,Don't know,No,No,No,Yes,Poor,Knowledgeable
392,Yes,Often,Yes,Don't know,No,Yes,Yes,Good,Knowledgeable
393,Yes,Rarely,No,No,No,No,Yes,Poor,Knowledgeable
394,Yes,Sometimes,Don't know,Don't know,No,Don't know,Yes,Poor,Not knowledgeable
395,Yes,Rarely,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
396,Yes,Sometimes,Yes,Don't know,Yes,Yes,Yes,Good,Knowledgeable
397,Yes,Sometimes,Don't know,Don't know,Yes,Don't know,Yes,Poor,Not knowledgeable
398,Yes,Sometimes,Yes,No,No,No,Yes,Poor,Knowledgeable
399,No,Never,No,No,No,No,Yes,Poor,Knowledgeable
400,Yes,Sometimes,Yes,Yes,Don't know,Don't know,Yes,Poor,Somewhat knowledgeable
401,Yes,Rarely,Don't know,No,No,No,Yes,Poor,Knowledgeable
402,No,Never,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
403,Yes,Often,Yes,Yes,No,No,Yes,Poor,Knowledgeable
404,No,Never,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
405,No,Never,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
406,Yes,Never,Don't know,No,Yes,Don't know,Yes,Poor,Somewhat knowledgeable
407,No,Never,No,No,No,No,Yes,Poor,Knowledgeable
408,No,Rarely,Don't know,No,No,No,Yes,Poor,Knowledgeable
409,Yes,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
410,Yes,Often,No,No,No,No,Yes,Poor,Knowledgeable
411,Yes,Sometimes,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
412,Yes,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
413,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
414,Yes,Sometimes,Yes,Yes,No,Don't know,Yes,Poor,Knowledgeable
415,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
416,Yes,Rarely,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
417,Yes,Sometimes,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
418,Yes,Sometimes,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
419,No,Never,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
420,Yes,Sometimes,Yes,No,Yes,Don't know,Yes,Good,Knowledgeable
421,No,Rarely,No,No,No,No,Yes,Poor,Knowledgeable
422,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
423,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
424,Yes,Sometimes,Don't know,Don't know,Yes,Don't know,Yes,Poor,Not knowledgeable
425,No,Never,Don't know,Don't know,No,Don't know,Yes,Poor,Not knowledgeable
426,Yes,Never,Yes,No,No,No,Yes,Poor,Knowledgeable
427,No,Never,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
428,Yes,Rarely,No,No,No,No,Yes,Poor,Knowledgeable
429,No,Sometimes,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
430,Yes,Never,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
431,Yes,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
432,Yes,Sometimes,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
433,Yes,Sometimes,Yes,Yes,Don't know,Don't know,Yes,Poor,Somewhat knowledgeable
434,Yes,Never,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
435,No,Rarely,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
436,Yes,Sometimes,Yes,Yes,Don't know,Don't know,Yes,Poor,Somewhat knowledgeable
437,Yes,Often,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
438,Yes,Sometimes,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
439,No,Never,Yes,Yes,No,No,Yes,Poor,Knowledgeable
440,Yes,Often,Yes,No,No,Don't know,Yes,Poor,Knowledgeable
441,Yes,Sometimes,Don't know,No,Don't know,Don't know,Yes,Poor,Not knowledgeable
442,Yes,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
443,Yes,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
444,No,Sometimes,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
445,No,Never,Don't know,No,No,No,Yes,Poor,Knowledgeable
446,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
447,Yes,Never,No,Yes,No,No,Yes,Poor,Knowledgeable
448,No,Sometimes,Don't know,Don't know,No,Don't know,Yes,Poor,Not knowledgeable
449,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
450,No,Never,No,Yes,No,No,Yes,Poor,Knowledgeable
451,No,Often,Don't know,No,No,No,Yes,Poor,Knowledgeable
452,No,Never,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
453,Yes,Rarely,Don't know,No,No,No,Yes,Poor,Knowledgeable
454,No,Never,Yes,Don't know,No,Don't know,Yes,Poor,Somewhat knowledgeable
455,Yes,Rarely,No,Yes,No,No,Yes,Poor,Knowledgeable
456,Yes,Rarely,Yes,Don't know,Don't know,No,Yes,Poor,Somewhat knowledgeable
457,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
458,Yes,Often,Yes,Yes,No,No,Yes,Poor,Knowledgeable
459,No,Rarely,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
460,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
461,No,Sometimes,Don't know,Don't know,Yes,Don't know,Yes,Poor,Not knowledgeable
462,No,Sometimes,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
463,Yes,Sometimes,Don't know,No,Yes,Don't know,Yes,Poor,Somewhat knowledgeable
464,No,Rarely,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
465,Yes,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
466,No,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
467,No,Never,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
468,Yes,Often,No,Yes,No,No,Yes,Poor,Knowledgeable
469,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
470,Yes,Rarely,Yes,Yes,Don't know,Yes,Yes,Good,Knowledgeable
471,Yes,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
472,Yes,Never,Yes,Yes,No,Don't know,Yes,Poor,Knowledgeable
473,Yes,Sometimes,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
474,No,Never,Yes,Yes,Don't know,Don't know,Yes,Poor,Somewhat knowledgeable
475,No,Never,Yes,No,Yes,Don't know,Yes,Good,Knowledgeable
476,Yes,Sometimes,Yes,Yes,No,Don't know,Yes,Poor,Knowledgeable
477,Yes,Rarely,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
478,No,Sometimes,Yes,No,Yes,Yes,Yes,Good,Knowledgeable
479,No,Never,Yes,No,Don't know,Yes,Yes,Good,Knowledgeable
480,Yes,Often,Don't know,Don't know,No,Don't know,Yes,Poor,Not knowledgeable
481,No,Never,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
482,No,Sometimes,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
483,Yes,Rarely,No,No,No,No,Yes,Poor,Knowledgeable
484,Yes,Sometimes,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
485,Yes,Sometimes,Yes,Yes,Yes,No,Yes,Good,Knowledgeable
486,Yes,Rarely,Yes,Yes,Don't know,Don't know,Yes,Poor,Somewhat knowledgeable
487,Yes,Never,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
488,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
489,Yes,Rarely,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
490,Yes,Often,No,No,No,No,Yes,Poor,Knowledgeable
491,Yes,Sometimes,Don't know,Yes,No,Yes,Yes,Poor,Knowledgeable
492,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
493,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
494,Yes,Often,Don't know,Don't know,No,Don't know,Yes,Poor,Not knowledgeable
495,No,Sometimes,Don't know,Don't know,No,Don't know,Yes,Poor,Not knowledgeable
496,No,Sometimes,Yes,No,Yes,No,Yes,Good,Knowledgeable
497,No,Never,Don't know,No,Don't know,Don't know,Yes,Poor,Not knowledgeable
498,No,Often,Don't know,No,No,Yes,Yes,Poor,Knowledgeable
499,Yes,Sometimes,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
500,Yes,Sometimes,No,Don't know,No,No,Yes,Poor,Knowledgeable
501,Yes,Sometimes,Don't know,Don't know,No,Yes,Yes,Poor,Somewhat knowledgeable
502,Yes,Often,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
503,Yes,Rarely,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
504,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
505,Yes,Rarely,Yes,Yes,Don't know,Don't know,Yes,Poor,Somewhat knowledgeable
506,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
507,Yes,Sometimes,Yes,Yes,No,Don't know,Yes,Poor,Knowledgeable
508,No,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
509,Yes,Sometimes,Don't know,No,Don't know,Don't know,Yes,Poor,Not knowledgeable
510,Yes,Often,Yes,Yes,No,No,Yes,Poor,Knowledgeable
511,Yes,Rarely,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
512,Yes,Sometimes,Yes,Yes,Don't know,Yes,Yes,Good,Knowledgeable
513,Yes,Sometimes,Yes,Yes,Don't know,Don't know,Yes,Poor,Somewhat knowledgeable
514,Yes,Rarely,No,Yes,No,No,Yes,Poor,Knowledgeable
515,Yes,Rarely,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
516,Yes,Often,Don't know,Don't know,Yes,No,Yes,Poor,Somewhat knowledgeable
517,Yes,Rarely,Yes,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
518,No,Never,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
519,No,Sometimes,No,Don't know,No,No,Yes,Poor,Knowledgeable
520,Yes,Rarely,Don't know,Don't know,No,Don't know,Yes,Poor,Not knowledgeable
521,No,Never,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
522,No,Never,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
523,No,Never,Yes,No,No,No,Yes,Poor,Knowledgeable
524,Yes,Often,No,No,No,No,Yes,Poor,Knowledgeable
525,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
526,Yes,Often,Don't know,Don't know,No,Don't know,Yes,Poor,Not knowledgeable
527,No,Never,Yes,Don't know,Yes,No,Yes,Good,Knowledgeable
528,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
529,No,Rarely,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
530,No,Often,No,No,No,No,Yes,Poor,Knowledgeable
531,No,Sometimes,Yes,Don't know,Yes,Yes,Yes,Good,Knowledgeable
532,Yes,Sometimes,Yes,Yes,Yes,Don't know,Yes,Good,Knowledgeable
533,Yes,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
534,Yes,Rarely,Yes,Yes,No,No,Yes,Poor,Knowledgeable
535,No,Rarely,No,No,No,No,Yes,Poor,Knowledgeable
536,Yes,Often,Yes,Yes,No,Don't know,Yes,Poor,Knowledgeable
537,Yes,Sometimes,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
538,Yes,Often,Yes,Yes,No,No,Yes,Poor,Knowledgeable
539,Yes,Sometimes,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
540,Yes,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
541,No,Never,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
542,No,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
543,Yes,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
544,No,Sometimes,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
545,No,Sometimes,Yes,Don't know,Yes,Yes,Yes,Good,Knowledgeable
546,Yes,Sometimes,Yes,No,No,No,Yes,Poor,Knowledgeable
547,No,Rarely,Don't know,No,No,No,Yes,Poor,Knowledgeable
548,No,Never,Don't know,No,No,No,Yes,Poor,Knowledgeable
549,No,Never,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
550,No,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
551,Yes,Sometimes,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
552,No,Never,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
553,No,Sometimes,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
554,No,Never,Yes,Yes,Yes,No,Yes,Good,Knowledgeable
555,Yes,Rarely,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
556,Yes,Often,No,No,No,No,Yes,Poor,Knowledgeable
557,No,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
558,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
559,No,Sometimes,No,Don't know,No,No,Yes,Poor,Knowledgeable
560,Yes,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
561,Yes,Sometimes,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
562,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
563,Yes,Sometimes,Yes,Don't know,No,No,Yes,Poor,Knowledgeable
564,Yes,Sometimes,No,Don't know,No,No,Yes,Poor,Knowledgeable
565,No,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
566,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
567,Yes,Often,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
568,No,Never,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
569,Yes,Sometimes,Yes,Yes,No,Don't know,Yes,Poor,Knowledgeable
570,No,Never,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
571,Yes,Often,Yes,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
572,Yes,Rarely,Yes,Yes,Don't know,Yes,Yes,Good,Knowledgeable
573,Yes,Sometimes,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
574,Yes,Often,Don't know,No,No,No,Yes,Poor,Knowledgeable
575,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
576,No,Never,Yes,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
577,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
578,No,Sometimes,Yes,Don't know,No,Yes,Yes,Good,Knowledgeable
579,No,Rarely,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
580,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
581,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
582,Yes,Often,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
583,Yes,Sometimes,Yes,Yes,No,Don't know,Yes,Poor,Knowledgeable
584,Yes,Often,No,Yes,No,No,Yes,Poor,Knowledgeable
585,Yes,Often,Don't know,Don't know,Don't know,Yes,Yes,Poor,Not knowledgeable
586,Yes,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
587,Yes,Sometimes,Yes,Yes,Yes,Don't know,Yes,Good,Knowledgeable
588,Yes,Sometimes,Yes,Yes,Don't know,Don't know,Yes,Poor,Somewhat knowledgeable
589,Yes,Often,No,Yes,No,No,Yes,Poor,Knowledgeable
590,Yes,Sometimes,Yes,Yes,Yes,Don't know,Yes,Good,Knowledgeable
591,Yes,Sometimes,Yes,No,No,Yes,Yes,Good,Knowledgeable
592,Yes,Rarely,Don't know,No,No,No,Yes,Poor,Knowledgeable
593,Yes,Sometimes,Yes,Don't know,Yes,Don't know,Yes,Good,Somewhat knowledgeable
594,No,Never,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
595,No,Sometimes,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
596,No,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
597,No,Never,Yes,No,No,No,Yes,Poor,Knowledgeable
598,Yes,Rarely,No,Yes,No,Don't know,Yes,Poor,Knowledgeable
599,Yes,Rarely,No,No,Don't know,Don't know,Yes,Poor,Somewhat knowledgeable
600,Yes,Often,Yes,Yes,Don't know,Don't know,Yes,Poor,Somewhat knowledgeable
601,No,Often,No,No,No,No,Yes,Poor,Knowledgeable
602,Yes,Sometimes,Yes,Yes,No,Don't know,Yes,Poor,Knowledgeable
603,Yes,Often,Yes,No,No,No,Yes,Poor,Knowledgeable
604,Yes,Sometimes,Don't know,No,Don't know,Don't know,Yes,Poor,Not knowledgeable
605,No,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
606,Yes,Never,Don't know,Don't know,No,Don't know,Yes,Poor,Not knowledgeable
607,Yes,Sometimes,Don't know,Yes,No,Don't know,Yes,Poor,Somewhat knowledgeable
608,No,Never,No,Yes,No,No,Yes,Poor,Knowledgeable
609,Yes,Never,Don't know,Don't know,No,Don't know,Yes,Poor,Not knowledgeable
610,Yes,Sometimes,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
611,No,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
612,Yes,Rarely,Yes,Yes,No,No,Yes,Poor,Knowledgeable
613,No,Rarely,No,Yes,No,Yes,Yes,Poor,Knowledgeable
614,No,Rarely,No,Yes,No,Yes,Yes,Poor,Knowledgeable
615,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
616,Yes,Sometimes,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
617,Yes,Often,No,Yes,No,No,Yes,Poor,Knowledgeable
618,No,Rarely,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
619,No,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
620,Yes,Sometimes,No,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
621,No,Rarely,Yes,Don't know,No,Don't know,Yes,Poor,Somewhat knowledgeable
622,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
623,No,Never,No,No,No,No,Yes,Poor,Knowledgeable
624,Yes,Rarely,Don't know,Don't know,No,Don't know,Yes,Poor,Not knowledgeable
625,Yes,Never,Don't know,Don't know,No,Don't know,Yes,Poor,Not knowledgeable
626,Yes,Rarely,No,Yes,No,No,Yes,Poor,Knowledgeable
627,No,Never,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
628,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
629,No,Never,Yes,No,No,Yes,Yes,Good,Knowledgeable
630,Yes,Sometimes,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
631,No,Sometimes,Yes,No,Yes,Don't know,Yes,Good,Knowledgeable
632,No,Never,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
633,No,Often,No,No,No,No,Yes,Poor,Knowledgeable
634,Yes,Sometimes,Yes,Yes,No,Don't know,Yes,Poor,Knowledgeable
635,Yes,Sometimes,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
636,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
637,Yes,Rarely,Yes,No,No,No,Yes,Poor,Knowledgeable
638,No,Never,No,No,No,Don't know,Yes,Poor,Knowledgeable
639,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
640,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
641,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
642,Yes,Often,No,Yes,No,No,Yes,Poor,Knowledgeable
643,Yes,Sometimes,Yes,No,No,No,Yes,Poor,Knowledgeable
644,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
645,Yes,Sometimes,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
646,No,Sometimes,Yes,Don't know,Yes,Yes,Yes,Good,Knowledgeable
647,No,Never,Don't know,No,No,No,Yes,Poor,Knowledgeable
648,No,Never,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
649,No,Rarely,Don't know,No,No,No,Yes,Poor,Knowledgeable
650,Yes,Often,No,No,No,No,Yes,Poor,Knowledgeable
651,Yes,Often,Yes,Don't know,No,Don't know,Yes,Poor,Somewhat knowledgeable
652,Yes,Often,No,Yes,No,No,Yes,Poor,Knowledgeable
653,Yes,Rarely,Yes,No,No,No,Yes,Poor,Knowledgeable
654,Yes,Never,No,No,No,No,Yes,Poor,Knowledgeable
655,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
656,Yes,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
657,No,Often,No,Yes,No,No,Yes,Poor,Knowledgeable
658,Yes,Sometimes,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
659,No,Never,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
660,No,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
661,Yes,Often,Yes,Yes,No,No,Yes,Poor,Knowledgeable
662,No,Never,No,Yes,No,No,Yes,Poor,Knowledgeable
663,Yes,Sometimes,Yes,No,Yes,Yes,Yes,Good,Knowledgeable
664,Yes,Often,Don't know,No,No,No,Yes,Poor,Knowledgeable
665,Yes,Sometimes,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
666,No,Never,Don't know,No,No,No,Yes,Poor,Knowledgeable
667,Yes,Sometimes,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
668,Yes,Rarely,No,Yes,Yes,No,Yes,Poor,Knowledgeable
669,No,Never,Yes,Yes,Don't know,Yes,Yes,Good,Knowledgeable
670,Yes,Sometimes,Don't know,Yes,No,No,Yes,Poor,Knowledgeable
671,Yes,Sometimes,No,Yes,No,Yes,Yes,Poor,Knowledgeable
672,Yes,Rarely,No,Yes,No,No,Yes,Poor,Knowledgeable
673,Yes,Often,Yes,Yes,Yes,Don't know,Yes,Good,Knowledgeable
674,Yes,Often,Don't know,No,Yes,Don't know,Yes,Poor,Somewhat knowledgeable
675,No,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
676,No,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
677,Yes,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
678,Yes,Rarely,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
679,Yes,Rarely,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
680,No,Never,Yes,Don't know,Don't know,Yes,Yes,Good,Somewhat knowledgeable
681,Yes,Often,No,No,No,No,Yes,Poor,Knowledgeable
682,Yes,Sometimes,Yes,No,No,Don't know,Yes,Poor,Knowledgeable
683,Yes,Sometimes,Yes,Yes,Don't know,No,Yes,Poor,Knowledgeable
684,Yes,Sometimes,Yes,Yes,Yes,No,Yes,Good,Knowledgeable
685,Yes,Often,Yes,Yes,No,No,Yes,Poor,Knowledgeable
686,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
